year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2020,NGA0377636374,,2.0,3.0,274450.0,274450.0,220027.0,80.17,4.0,3.0,1.0
2021,NGA0377636374,,2.0,1.0,281559.0,281559.0,0.0,0.0,4.0,3.0,0.0
2022,NGA0377636374,0.0,2.0,1.0,288895.0,288895.0,0.0,0.0,4.0,3.0,0.0
2023,NGA0377636374,,2.0,1.0,296118.0,0.0,0.0,0.0,4.0,3.0,0.0
2014,NGA0377736375,,0.0,0.0,169256.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377736375,,0.0,0.0,173704.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377736375,,0.0,0.0,178047.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377736375,,0.0,0.0,182498.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0377736375,,0.0,0.0,187061.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0377736375,,0.0,0.0,191737.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0377736375,,0.0,0.0,196156.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0377736375,,0.0,0.0,201236.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0377736375,,0.0,0.0,206480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0377736375,,0.0,0.0,211642.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0377736376,,2.0,2.0,73674.0,73674.0,28832.0,39.13,1.0,0.0,0.0
2015,NGA0377736376,,2.0,3.0,75610.0,75609.0,41119.0,54.38,2.0,1.0,1.0
2016,NGA0377736376,,2.0,3.0,77500.0,77500.0,50292.0,64.89,3.0,2.0,1.0
2017,NGA0377736376,,2.0,3.0,79438.0,79438.0,63590.0,80.05,4.0,3.0,1.0
2018,NGA0377736376,,2.0,3.0,81424.0,81423.0,59732.0,73.36,5.0,4.0,1.0
2019,NGA0377736376,,2.0,3.0,83459.0,83459.0,65296.0,78.24,6.0,5.0,1.0
2020,NGA0377736376,,2.0,3.0,85383.0,85382.0,61833.0,72.42,7.0,6.0,1.0
2021,NGA0377736376,,2.0,1.0,87594.0,87594.0,0.0,0.0,7.0,6.0,0.0
2022,NGA0377736376,0.65,2.0,2.0,89876.0,89876.0,45082.0,50.16,8.0,6.0,0.0
2023,NGA0377736376,,2.0,1.0,92123.0,0.0,0.0,0.0,8.0,6.0,0.0
2014,NGA0377736377,,0.0,0.0,209981.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377736377,,0.0,0.0,215500.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377736377,,0.0,0.0,220888.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377736377,,0.0,0.0,226410.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0377736377,,0.0,0.0,232070.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0377736377,,0.0,0.0,237872.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0377736377,,0.0,0.0,243354.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0377736377,,0.0,0.0,249657.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0377736377,,0.0,0.0,256162.0,0.0,0.0,0.0,0.0,0.0,0.0
